"anonyme_id","hh_id","age","class","sex"
"11115",151,"10","S3","m"
"112462",2,"16","FIN","m"
"112713",4,"7","S2","f"
"11589",4,"15","F1","f"
"11879",2,"1999","FIN F2","f"
"12165",152,"5","CHEKE CHEA","m"
"12168",1,"13","S5","f"
"12185",152,"12","S3","f"
"122557",147,"12.5","S4","m"
"12753",171,"10","S2","f"
"12761",162,"22","F1","m"
"13212",152,"15","F1","m"
"132588",151,"7","S1","m"
"132689",10,"13","S5","f"
"132853",151,"13","F1","m"
"132854",171,"20","F4","m"
"133433",102,"13","FALSE","f"
"133453",160,"10","S3","f"
"135723",8,"5","HEKE CHEA","f"
"136745",155,"26","FIN F2","m"
"137323",151,"4","S3","m"
"13744",145,"9","S2","m"
"138251",10,"8","S2","m"
"138451",2,"1997","FIN F2","f"
"138891",3,"14","S3","m"
"1399",102,"13","S5","m"
"14109",18,"13","S4","m"
"147436",102,"19","FIN F1","f"
"14764",102,"9","S3","m"
"147833",174,"15","F2","f"
"152122",150,"18","F4","m"
"153562",160,"11","S3","m"
"154176",7,"14","S4","m"
"15888",2,"5","BADO","f"
"17547",5,"7","S1","m"
"18232",10,"6","CHEKE CHEA","m"
"184723",142,"11","S4","m"
"185445",102,"8","S1","f"
"185824",4,"4","CHEKE CHEA","m"
"186802",9,"11","S3","f"
"18749",6,"9","S2","m"
"18758",8,"13","S5","m"
"188722",4,"10","S2","f"
"18959",150,"13","S6","f"
"191985",158,"16","F2","m"
"192109",148,"14","F1","m"
"192431",160,"13","S4","f"
"192662",138,"12","S4","m"
"192966",129,"24","FALSE","m"
"193223",3,"8","S2","m"
"193755",171,"15","F1","f"
"194104",9,"7","CHEKE CHEA","m"
"194388",128,"16","F2","m"
"1949",3,"15","S4","m"
"195424",7,"19","F2","f"
"195721",8,"10.5","S4","m"
"195755",7,"16","F3","f"
"195799",174,"14","S4","m"
"195821",9,"13","F1","f"
"19586",3,"56","FALSE","m"
"197299",113,"15","S3","m"
"198846",153,"10","S3","m"
"199450",171,"17","F2","m"
"199586",102,"16","F2","m"
"201358",3,"19","FIN S7","m"
"233890",2,"13","S4","f"
"236324",2,"5","BADO","f"
"251533",159,"7","CHEKE CHEA","m"
"252539",7,"7","CHER ECHEA","m"
"252552",171,"11","S4","m"
"252611",171,"8","S1","m"
"253748",18,"6","CHEKE CHEA","m"
"262057",7,"12","S4","f"
"263632",161,"11","S4","f"
"267566",102,"6","CHEK ECHEA","f"
"29434",171,"18","F4","m"
"37559",9,"15","F3","f"
"61153",152,"14","F1","f"
"61212",3,"12","S4","f"
"61427",8,"16","F1","m"
"62866",158,"15","FIN FA","f"
"62988",201,"10","S3","f"
"63263",161,"13","S5","f"
"65243",103,"12","S3","f"
"69990",205,"12","S3","f"
"81763",159,"12","S4","m"
"81873",159,"12","S4","m"
"82613",154,"4","S1","m"
"82623",154,"12","S5","m"
"83275",152,"13","S4","f"
"83476",8,"18","FIN F4","m"
"83881",4,"11","S3","f"
"88846",154,"?","S1","m"
"9108",7,"9","S2","m"
