Row,QN number,Questions,Difficulty,English translation,Right answer,Origin of question,,,Question type
1,popo mayai,Popo anataga mayai (A) au anazaa(B)?,R,Do bats make eggs(A) or give birth(B)?,B,General knowledge,,,forest
2,pelele panda,Pelele anakaa chini tu(A) au anapanda miti pia(B)?,R,Do hyraxes stay on the floor only(A) or climb trees as well(B)?,B,General knowledge,,,forest
3,mikandaa,Churambo(A) au Toondo(B) anaishi katikati mikandaa?,,Helmet shells(A) or mud whelks(B) live in between the mangroves?,B,General knowledge,,,shell
4,kambare,Kambare anaweza kuogelea baharini(A) au mtoni tu(B)?,K,Can catfishes swim in the sea(A) or only in the river(B)?,B,General knowledge,,,forest
5,koho,Koho anakula nyama. Kweli(A) au sio kweli(B)?,N,Do vultures eat meat(A) or fruits(B)?,A,General knowledge,,,forest
6,kutambaa,Mbaazi(A) au maharage(B) ni mti ya kutambaa?,,Mbaazi(A) or beans(B) is a vine?,B,General knowledge,,,farming
7,kijimbi,Kijimbi msitu anakula wadudu(A) au samaki(B)?,R,Do kingfishers eat insects(A) or fish(B)?,A,"Abdi Harubu Suleiman, DFNRNR",,,forest
8,ngisi,"Akiogopa, ngisi anazalisha kivi. Kweli(A) au sio kweli(B)?",,"When scared, the squid releases ink. True(A) or false(B).",A,General knowledge,,,fishing
9,papa,"Kwa mara moja, papa anazaa watoto kama watano(A) au hamsini(B)?",R,"Per single event, do sharks give birth to about five(A) or fifty(B) offspring?",A,"Bakari Abdallah, BK",,,forest
10,ukukwi,Ukukwi ni hatari. Kweli(A) au sio kweli(B).,R,Green spotted snakes are dangerous. True (A) or false(B).,B,"Focus group, DFNRNR",,,forest
11,mwani,Msimu gani ni msimu nzuri kwa mwani: Kaskazi(A) au Masika(B)?,R,"Which season is good for cultivating seaweed, long dry season(A) or long rainy season(B)?",A,"Focus group, DFNRNR",,,farming
12,kasa kutaga,Kasa anarudi kwa kutaga ufukweni kila miezi sita(A) au miaka moja-miwili(B)?,N,Do sea turtles return to their beach every six months(A) or one-two years(B)?,B,"Focus group, DFNRNR",,,fishing
13,koa,"Nani anakula koa, ngawa (A) au chonjwe(B)?",R,"Who eats snails, the civet(A) or the mongoose(B)?",B,"Focus group, DFNRNR",,,fishing
14,ngawa,Ngawa anakula magonda ya mchikichi. Kweli(A) au sio kweli(B).,N,Civets eat the meat of oil nuts. True(A) or false(B).,A,"Focus group, DFNRNR",,,forest
15,komba lala,Komba analala usiku(A) au mchana(B)?,R,Bushbabies sleep at night(A) or during the day(B)?,B,General knowledge,,,forest
16,mkuu,Mkuu wa usiku unatumika kama dawa ya kichwa(A) au mshipa(B)?,,Mkuu wa usiko is used as a medicine for the head(A) or the stomach(B)?,B,"Abdi Mzee, DFNRNR",,,medicine
17,koogwe,Mwenda (tumbili pevu/koogwe) anaishi na wajukuu wake(A) peke yake(B)?,R,The territorial vervet monkey male lives with his grandchildren(A) or by himself(B)?,B,"Asaa Sharif, DFNRNR",,,forest
18,vijinu,Vijinu vina sumu. Kweli(A) au sio kweli(B).,,Cone shells have venom. True(A) or false(B).,A,,,,shell
19,komba ndizi,"Komba, anapokula ndizi,  anakula moja tu(A) au anaharibu ndizi zote(B)?",R,"Bushbabies, when eating bananas, eat one at a time(A) or they ruin the whole batch(B)?",A,"Asaa Sharif, DFNRNR",,,farming
20,popo masikio,"Popo gani anatumia masikio kwa kuruka, popo kubwa(A) au popo mgomba(B)?",N,"Which bat uses its ears to fly, flying fox(A) or banana bat(B)?",B,"Asaa Sharif, DFNRNR, Focus group, BK",,,forest
21,popo uchafu,Popo anatoa uchafu kupitia njia ya mdomu. Kweli(A) au sio kweli(B).,N,Bats produce excrements out of their mouth. True(A) or false(B)?,B,"Asaa Sharif, DFNRNR",,,forest
22,chewa,Chewa ana meno mengi(A) au hana meno(B)?,R,Groupers have many(A) or no(B) teeth?,A,"Bakari Abdallah, BK",,,fishing
23,ndizi,"Ndizi gani ni nzuri kwa kupikwa, mkono wa tembo(A) au pukusa(B)?",,"Which banana is good for cooking, mkono wa tembo(A) or kukusa(B)?",A,"Asha Yussuf Khamissi, BK",,,farming
24,taa,Taa analala katikati macheme(A) au sehemu ya topetope(B)?,R,Rays sleep between the corals(A) or in the muddy patches(B)?,B,"Bakari Abdallah, BK",,,fishing
25,nyangumi,Nyangumi anasafiri Pemba kwa kuzaa(A) au kwa kupumzika tu(B)?,N,Whales travel to Pemba to give birth(A) or to rest(B)?,A,"Focus grup, BK",,,fishing
26,mgulele,Mgulele anafanya matunda kama mzambarau(A) au kama stafeli(B)?,N,The mgulele tree makes fruits that resemble java plums(A) or custard apples(B)?,A,"Focus grup, BK",,,farming
27,kubanja,Chaza (A) au tondoo(B) ni ngumu kwa kubanja?,,Chaza(A) or tondoo(B) is hard to kubanja?,B,"Asha Yussuf Khamissi, BK",,,shell
28,pelele vidole,Pelele hana vidole(A) au ana vidole vitatu(B) ?,N,Hyraxes have no fingers(A) or have three fingers(B)?,B,"Asaa Sharif, DFNRNR",,,forest
29,ulaya,Miti ulaya anakua katika mpaka ya msitu (A) au kituo ya msitu(B) ?,R,The mti ya ulaya tree grows in the forest border(A) or in its center(B)?,A,"Asaa Sharif, DFNRNR, Focus group, BK",,,forest
30,chepu,"Dawa gani inatumika kwa kuua chepu, msinduzi(A) au tonga mwuitu(B)?",N,"Which plant is a good medicine to kill fly larvae, msindu(A) or forest tonga(B)?",B,"Asaa Sharif, DFNRNR",,,medicine
31,kamba,Kamba anaweza kuogelea baharini. Kweli(A) au sio kweli(B).,,Shrimps can swim in the sea. True(A) or false(B).,A,General knowledge,,,shell
32,dau,"Mti gani ni bau mzuri kwa kutengeneza dau, mgulele(A) au mkarati(B)?",K,"Which wood is good to build boats, mgulele(A) or mkarati(B)?",B,"Focus grup, BK",,,building
33,mjusi,"Mjusi anaweza kuwa rangi gani, nyeupe(A) au kijani(B)?",R,"Geckos can be which color, white(A) or green(B)?",B,"Focus grup, BK",,,forest
34,nduaro,Nduaro anaweza kuwa kubwa kama ngombe(A) au kama mtoto(B)?,R,Tunas reach the size of a cow(A) or of a child(B)?,A,"Focus grup, BK",,,fishing
35,viazi,"Baada ya kupanda viazi, unasubiri miezi miwili(A) au minne(B) kwa kuvila?",,"After planting sweet potatoes, two(A) or four months(B) are needed before harvesting?",B,"Asha Yussuf Khamissi, BK",,,farming
36,pweza,Pweza anauliwa kwa bunduzi(A) au nyavu(B)?,R,The octopus is fished with fishing spears(A) or with nets(B)?,A,General knowledge,,,fishing
37,kichachuli,Kichachuli ni mtoto wa tumbili(A) au wa paa(B)?,R,Kichachuli is the offspring of the vervet monkey(A) or of the civet(B)?,A,"Abdi Mzee, DFNRNR",,,forest
38,kasa,"Kasa anasafiri msimu kuja Pemba, kaskazi(A) au kusi(B).",R,Sea turtles travel in the cold(A) or hot season(B)?,A,"Focus grup, BK",,,fishing
39,papa,"Papa gani ni mkali, nyambrani(A) au charawanzi(B)?",N,"Which shark is dangerous, nyambrani(A) or charawanzi(B)?",B,"Focus grup, BK",,,fishing
40,chowe,"Maji yanapotoka, zinapatikana kungugu(A) au chowe(B) ufukweni?",,"When the tide is low, can you find cowrie shells or razor shelld on the beach?",B,General knowledge,,,shell
41,mbiliwili,"Mbiliwili anasafiri mpaka ulaya, kweli(A) au sio kweli(B).",N,Swifts travel to Europe. True(A) or false(B)?,A,"Focus grup, BK",,,forest
42,salile,Salile anataga msimu wa mvuli(A) au masika(B)?,N,Ducks lay eggs in the short(A) or long(B) rainy season?,B,"Focus grup, BK",,,forest
43,matunda,"Matunda gani yanazaliwa mara moja kwa mwaka, korosho(A) au zambarau(B)?",N,"Which fruit is produced once a year, mkorosho(A) or java plums(B)?",A,"Focus grup, BK",,,farming
44,pomboo,Watoto wa pomboo wananyonya. Kweli(A) au sio kweli(B).,,The offspring of dolphins drink milk. True(A) or false(B).,A,General knowledge,,,fishing
45,minazi,"Minazi gani inaishi kwa muda mrefu zaidi, za kilimo(A) au za kawaida(B)?",,"Which coconut lives a longer life, the cultivation one(A) or the normal one(B)?",B,"Asha Yussuf Khamissi, BK",,,farming
46,chamvi,Chamvi ni mtoto wa kipepeo. Kweli(A) au sio kweli(B).,,The caterpillar is the offsping of the butterfly. True(A) or not true(B).,A,General knowledge,,,forest
47,chale,Chale ni hatari. Kweli(A) au sio kweli(B).,,Lion fishes are dangerous. True(A) or false(B).,A,General knowledge,,,fishing
48,bocho,Bocho anaogelea(A) au anatembea chini ya bahari(B)?,,Frogfishes swim(A) or walk on the bottom of the sea(B)?,B,General knowledge,,,fishing
49,mjafari,Mjafari unatumika kama dawa mzizi(A) au majani(B)?,,"Of the plant mjafari, the roots(A) or the leaves(B) are used as medicine?",A,"Abdi Mzee, DFNRNR",,,medicine
50,panga,Msimu gani ni msimu nzuri kwa panga: mwanza(A) au nusu(B) wa mwezi?,,Which period is good for panga: beginning(A) or mid(B) moon?,A,"Asha Yussuf Khamissi, BK",,,shell
