"","as.vector(unlist(lapply(actdiff, mean)))","X5.","X94."
"agriculture",-6.41579637137647,-17.5194779960531,1.15437793189906
"household",-4.77193864633254,-13.3870222507442,0.232420145561006
"cloves",-3.94742292399564,-13.7005759647573,1.87079482017883
"diving",-2.35584496985443,-11.2249737250405,4.68393023066424
"algae",-2.1351454642531,-8.4637174226358,2.5556213983751
"game",-1.59444076204343,-8.98417163237535,3.94564587653759
"birds",3.58480459405498,0.407231132565905,7.69558657366612
"fishing",3.5997732221919,-2.50114648522582,9.78428118686278
"livestock",3.72404122592524,-0.0444228493823462,8.79989409871204
"seashells",4.18393580028947,0.484451748959787,8.54416979895605
